Tahun,Provinsi,Jml_Kejahatan,Risiko_per_100rb,Pct_Selesai,Selang_Waktu
2021,Jawa Tengah,8909.0,26.0,70.78,58.0
2021,DI Yogyakarta,4774.0,123.0,100.0,150.0
2021,Jawa Timur,19257.0,48.0,55.35,27.0
2021,Banten,3434.0,27.0,76.09,233.0
2021,Bali,2404.0,55.0,84.69,338.0
2021,Nusa Tenggara Barat,6296.0,122.0,59.66,123.0
2021,Nusa Tenggara Timur,4909.0,90.0,33.06,147.0
2021,Kalimantan Barat,4048.0,80.0,91.45,209.0
2021,Kalimantan Tengah,2399.0,91.0,81.99,339.0
2021,Kalimantan Selatan,4973.0,118.0,78.56,145.0
2021,Kalimantan Timur,4564.0,126.0,63.39,155.0
2021,Kalimantan Utara,971.0,140.0,86.71,901.0
2021,Sulawesi Utara,6215.0,249.0,58.04,124.0
2021,Sulawesi Tengah,5139.0,169.0,53.4,142.0
2021,Sulawesi Selatan,14636.0,166.0,64.26,35.0
2021,Sulawesi Tenggara,2431.0,91.0,61.42,336.0
2021,Gorontalo,2445.0,208.0,54.6,334.0
2021,Sulawesi Barat,1500.0,110.0,75.13,550.0
2021,Maluku,3139.0,177.0,43.71,247.0
2021,Maluku Utara,1008.0,82.0,58.43,841.0
2021,Papua Barat,2784.0,289.0,32.83,308.0
2021,Papua,6236.0,186.0,42.45,124.0
